,identifier,date,volume,issue,year
117,sim_newsweek-us_1946-10-21_28_17,10/21/46,28,17,1946
118,sim_newsweek-us_1946-11-04_28_19,11/4/46,28,19,1946
119,sim_newsweek-us_1946-12-30_28_27,12/30/46,28,27,1946
120,sim_newsweek-us_1947-01-20_29_3,1/20/47,29,3,1947
121,sim_newsweek-us_1947-02-10_29_6,2/10/47,29,6,1947
122,sim_newsweek-us_1947-03-10_29_10,3/10/47,29,10,1947
123,sim_newsweek-us_1947-04-21_29_16,4/21/47,29,16,1947
124,sim_newsweek-us_1947-05-19_29_20,5/19/47,29,20,1947
125,sim_newsweek-us_1947-06-30_29_26,6/30/47,29,26,1947
126,sim_newsweek-us_1947-07-14_30_2,7/14/47,30,2,1947
127,sim_newsweek-us_1947-08-11_30_6,8/11/47,30,6,1947
128,sim_newsweek-us_1947-09-08_30_10,9/8/47,30,10,1947
129,sim_newsweek-us_1947-10-20_30_16,10/20/47,30,16,1947
130,sim_newsweek-us_1947-11-10_30_19,11/10/47,30,19,1947
131,sim_newsweek-us_1947-12-08_30_23,12/8/47,30,23,1947
132,sim_newsweek-us_1948-01-05_31_1,1/5/48,31,1,1948
133,sim_newsweek-us_1948-02-02_31_5,2/2/48,31,5,1948
134,sim_newsweek-us_1948-03-01_31_9,3/1/48,31,9,1948
135,sim_newsweek-us_1948-04-19_31_16,4/19/48,31,16,1948
136,sim_newsweek-us_1948-05-10_31_19,5/10/48,31,19,1948
137,sim_newsweek-us_1948-06-14_31_24,6/14/48,31,24,1948
138,sim_newsweek-us_1948-08-16_32_7,8/16/48,32,7,1948
139,sim_newsweek-us_1948-09-20_32_12,9/20/48,32,12,1948
140,sim_newsweek-us_1948-10-11_32_15,10/11/48,32,15,1948
141,sim_newsweek-us_1948-12-13_32_24,12/13/48,32,24,1948
142,sim_newsweek-us_1949-01-03_33_1,1/3/49,33,1,1949
143,sim_newsweek-us_1949-02-07_33_6,2/7/49,33,6,1949
144,sim_newsweek-us_1949-03-14_33_11,3/14/49,33,11,1949
145,sim_newsweek-us_1949-04-25_33_17,4/25/49,33,17,1949
146,sim_newsweek-us_1949-05-09_33_19,5/9/49,33,19,1949
147,sim_newsweek-us_1949-06-13_33_24,6/13/49,33,24,1949
148,sim_newsweek-us_1949-07-18_34_3,7/18/49,34,3,1949
149,sim_newsweek-us_1949-08-15_34_7,8/15/49,34,7,1949
150,sim_newsweek-us_1949-09-19_34_12,9/19/49,34,12,1949
151,sim_newsweek-us_1949-10-03_34_14,10/3/49,34,14,1949
152,sim_newsweek-us_1949-11-07_34_19,11/7/49,34,19,1949
153,sim_newsweek-us_1949-12-26_34_26,12/26/49,34,26,1949
154,sim_newsweek-us_1950-01-30_35_5,1/30/50,35,5,1950
155,sim_newsweek-us_1950-02-06_35_6,2/6/50,35,6,1950
156,sim_newsweek-us_1950-03-27_35_13,3/27/50,35,13,1950
157,sim_newsweek-us_1950-04-10_35_15,4/10/50,35,15,1950
158,sim_newsweek-us_1950-05-01_35_18,5/1/50,35,18,1950
159,sim_newsweek-us_1950-06-26_35_26,6/26/50,35,26,1950
160,sim_newsweek-us_1950-07-10_36_2,7/10/50,36,2,1950
161,sim_newsweek-us_1950-08-07_36_6,8/7/50,36,6,1950
162,sim_newsweek-us_1950-09-04_36_10,9/4/50,36,10,1950
163,sim_newsweek-us_1950-10-23_36_17,10/23/50,36,17,1950
164,sim_newsweek-us_1950-11-20_36_21,11/20/50,36,21,1950
165,sim_newsweek-us_1950-12-11_36_24,12/11/50,36,24,1950
166,sim_newsweek-us_1951-01-08_37_2,1/8/51,37,2,1951
167,sim_newsweek-us_1951-02-19_37_8,2/19/51,37,8,1951
168,sim_newsweek-us_1951-03-05_37_10,3/5/51,37,10,1951
169,sim_newsweek-us_1951-04-02_37_14,4/2/51,37,14,1951
170,sim_newsweek-us_1951-05-21_37_21,5/21/51,37,21,1951
171,sim_newsweek-us_1951-06-18_37_25,6/18/51,37,25,1951
172,sim_newsweek-us_1951-07-16_38_3,7/16/51,38,3,1951
173,sim_newsweek-us_1951-08-20_38_8,8/20/51,38,8,1951
174,sim_newsweek-us_1951-09-17_38_12,9/17/51,38,12,1951
175,sim_newsweek-us_1951-10-22_38_17,10/22/51,38,17,1951
176,sim_newsweek-us_1951-11-12_38_20,11/12/51,38,20,1951
177,sim_newsweek-us_1951-12-24_38_26,12/24/51,38,26,1951
178,sim_newsweek-us_1952-01-21_39_3,1/21/52,39,3,1952
179,sim_newsweek-us_1952-02-18_39_7,2/18/52,39,7,1952
180,sim_newsweek-us_1952-03-24_39_12,3/24/52,39,12,1952
181,sim_newsweek-us_1952-04-21_39_16,4/21/52,39,16,1952
182,sim_newsweek-us_1952-05-19_39_20,5/19/52,39,20,1952
183,sim_newsweek-us_1952-06-30_39_26,6/30/52,39,26,1952
184,sim_newsweek-us_1952-07-21_40_3,7/21/52,40,3,1952
185,sim_newsweek-us_1952-08-11_40_6,8/11/52,40,6,1952
186,sim_newsweek-us_1952-09-15_40_11,9/15/52,40,11,1952
187,sim_newsweek-us_1952-10-06_40_14,10/6/52,40,14,1952
188,sim_newsweek-us_1952-11-17_40_21,11/17/52,40,21,1952
189,sim_newsweek-us_1952-12-22_40_26,12/22/52,40,26,1952
190,sim_newsweek-us_1953-02-09_41_6,2/9/53,41,6,1953
191,sim_newsweek-us_1953-03-30_41_13,3/30/53,41,13,1953
192,sim_newsweek-us_1953-04-20_41_16,4/20/53,41,16,1953
193,sim_newsweek-us_1953-05-18_41_20,5/18/53,41,20,1953
194,sim_newsweek-us_1953-06-01_41_22,6/1/53,41,22,1953
195,sim_newsweek-us_1953-07-27_42_4,7/27/53,42,4,1953
196,sim_newsweek-us_1953-08-17_42_7,8/17/53,42,7,1953
197,sim_newsweek-us_1953-09-14_42_11,9/14/53,42,11,1953
198,sim_newsweek-us_1953-10-19_42_16,10/19/53,42,16,1953
199,sim_newsweek-us_1953-12-28_42_26,12/28/53,42,26,1953
200,sim_newsweek-us_1954-01-04_43_1,1/4/54,43,1,1954
201,sim_newsweek-us_1954-02-01_43_5,2/1/54,43,5,1954
202,sim_newsweek-us_1954-03-22_43_12,3/22/54,43,12,1954
203,sim_newsweek-us_1954-04-12_43_15,4/12/54,43,15,1954
204,sim_newsweek-us_1954-05-03_43_18,5/3/54,43,18,1954
205,sim_newsweek-us_1954-06-07_43_23,6/7/54,43,23,1954
206,sim_newsweek-us_1954-07-12_44_2,7/12/54,44,2,1954
207,sim_newsweek-us_1954-08-02_44_5,8/2/54,44,5,1954
208,sim_newsweek-us_1954-09-06_44_10,9/6/54,44,10,1954
209,sim_newsweek-us_1954-10-25_44_17,10/25/54,44,17,1954
210,sim_newsweek-us_1954-11-08_44_19,11/8/54,44,19,1954
211,sim_newsweek-us_1954-12-20_44_25,12/20/54,44,25,1954
212,sim_newsweek-us_1955-01-10_45_2,1/10/55,45,2,1955
213,sim_newsweek-us_1955-02-28_45_9,2/28/55,45,9,1955
214,sim_newsweek-us_1955-03-28_45_13,3/28/55,45,13,1955
215,sim_newsweek-us_1955-04-18_45_16,4/18/55,45,16,1955
216,sim_newsweek-us_1955-05-02_45_18,5/2/55,45,18,1955
217,sim_newsweek-us_1955-06-27_45_26,6/27/55,45,26,1955
218,sim_newsweek-us_1955-07-11_46_2,7/11/55,46,2,1955
219,sim_newsweek-us_1955-08-15_46_7,8/15/55,46,7,1955
220,sim_newsweek-us_1955-09-12_46_11,9/12/55,46,11,1955
221,sim_newsweek-us_1955-10-17_46_16,10/17/55,46,16,1955
222,sim_newsweek-us_1955-11-21_46_21,11/21/55,46,21,1955
223,sim_newsweek-us_1955-12-19_46_25,12/19/55,46,25,1955
224,sim_newsweek-us_1956-01-23_47_4,1/23/56,47,4,1956
225,sim_newsweek-us_1956-02-20_47_8,2/20/56,47,8,1956
226,sim_newsweek-us_1956-03-12_47_11,3/12/56,47,11,1956
227,sim_newsweek-us_1956-04-16_47_16,4/16/56,47,16,1956
228,sim_newsweek-us_1956-05-07_47_19,5/7/56,47,19,1956
229,sim_newsweek-us_1956-06-18_47_25,6/18/56,47,25,1956
230,sim_newsweek-us_1956-07-16_48_3,7/16/56,48,3,1956
231,sim_newsweek-us_1956-08-20_48_8,8/20/56,48,8,1956
232,sim_newsweek-us_1956-09-24_48_13,9/24/56,48,13,1956
233,sim_newsweek-us_1956-11-19_48_21,11/19/56,48,21,1956
234,sim_newsweek-us_1956-12-17_48_25,12/17/56,48,25,1956
235,sim_newsweek-us_1957-01-21_49_3,1/21/57,49,3,1957
236,sim_newsweek-us_1957-02-18_49_7,2/18/57,49,7,1957
237,sim_newsweek-us_1957-03-11_49_10,3/11/57,49,10,1957
238,sim_newsweek-us_1957-04-15_49_15,4/15/57,49,15,1957
239,sim_newsweek-us_1957-05-13_49_19,5/13/57,49,19,1957
240,sim_newsweek-us_1957-06-10_49_23,6/10/57,49,23,1957
241,sim_newsweek-us_1957-07-01_50_1,7/1/57,50,1,1957
242,sim_newsweek-us_1957-08-26_50_9,8/26/57,50,9,1957
243,sim_newsweek-us_1957-09-23_50_13,9/23/57,50,13,1957
244,sim_newsweek-us_1957-10-14_50_16,10/14/57,50,16,1957
245,sim_newsweek-us_1957-11-25_50_22,11/25/57,50,22,1957
246,sim_newsweek-us_1957-12-23_50_26,12/23/57,50,26,1957
247,sim_newsweek-us_1958-01-27_51_4,1/27/58,51,4,1958
248,sim_newsweek-us_1958-02-03_51_5,2/3/58,51,5,1958
249,sim_newsweek-us_1958-03-03_51_9,3/3/58,51,9,1958
250,sim_newsweek-us_1958-04-28_51_17,4/28/58,51,17,1958
251,sim_newsweek-us_1958-05-19_51_20,5/19/58,51,20,1958
252,sim_newsweek-us_1958-06-16_51_24,6/16/58,51,24,1958
253,sim_newsweek-us_1958-07-14_52_2,7/14/58,52,2,1958
254,sim_newsweek-us_1958-08-18_52_7,8/18/58,52,7,1958
255,sim_newsweek-us_1958-09-01_52_9,9/1/58,52,9,1958
256,sim_newsweek-us_1958-10-20_52_16,10/20/58,52,16,1958
257,sim_newsweek-us_1958-11-03_52_18,11/3/58,52,18,1958
258,sim_newsweek-us_1958-12-29_52_26,12/29/58,52,26,1958
259,sim_newsweek-us_1959-02-16_53_7,2/16/59,53,7,1959
260,sim_newsweek-us_1959-03-30_53_13,3/30/59,53,13,1959
261,sim_newsweek-us_1959-04-13_53_15,4/13/59,53,15,1959
262,sim_newsweek-us_1959-05-04_53_18,5/4/59,53,18,1959
263,sim_newsweek-us_1959-06-15_53_24,6/15/59,53,24,1959
264,sim_newsweek-us_1959-07-27_54_4,7/27/59,54,4,1959
265,sim_newsweek-us_1959-08-10_54_6,8/10/59,54,6,1959
266,sim_newsweek-us_1959-09-14_54_11,9/14/59,54,11,1959
267,sim_newsweek-us_1959-10-05_54_14,10/5/59,54,14,1959
268,sim_newsweek-us_1959-11-16_54_20,11/16/59,54,20,1959
269,sim_newsweek-us_1960-01-18_55_3,1/18/60,55,3,1960
270,sim_newsweek-us_1960-02-29_55_9,2/29/60,55,9,1960
271,sim_newsweek-us_1960-03-14_55_11,3/14/60,55,11,1960
272,sim_newsweek-us_1960-04-11_55_15,4/11/60,55,15,1960
273,sim_newsweek-us_1960-05-23_55_21,5/23/60,55,21,1960
274,sim_newsweek-us_1960-06-13_55_24,6/13/60,55,24,1960
275,sim_newsweek-us_1960-07-18_56_3,7/18/60,56,3,1960
276,sim_newsweek-us_1960-08-15_56_7,8/15/60,56,7,1960
277,sim_newsweek-us_1960-09-19_56_12,9/19/60,56,12,1960
278,sim_newsweek-us_1960-10-31_56_18,10/31/60,56,18,1960
279,sim_newsweek-us_1960-11-14_56_20,11/14/60,56,20,1960
280,sim_newsweek-us_1960-12-05_56_23,12/5/60,56,23,1960
281,sim_newsweek-us_1961-01-23_57_4,1/23/61,57,4,1961
282,sim_newsweek-us_1961-02-20_57_8,2/20/61,57,8,1961
283,sim_newsweek-us_1961-03-13_57_11,3/13/61,57,11,1961
284,sim_newsweek-us_1961-04-03_57_14,4/3/61,57,14,1961
285,sim_newsweek-us_1961-05-08_57_19,5/8/61,57,19,1961
286,sim_newsweek-us_1961-06-26_57_26,6/26/61,57,26,1961
287,sim_newsweek-us_1961-07-03_58_1,7/3/61,58,1,1961
288,sim_newsweek-us_1961-08-21_58_8,8/21/61,58,8,1961
289,sim_newsweek-us_1961-09-04_58_10,9/4/61,58,10,1961
290,sim_newsweek-us_1961-10-02_58_14,10/2/61,58,14,1961
291,sim_newsweek-us_1961-11-06_58_19,11/6/61,58,19,1961
292,sim_newsweek-us_1961-12-25_58_26,12/25/61,58,26,1961
293,1953,NA,NA,NA,1953
